model,question,correct,seconds,prompt_chars
Llama3.2-3B Q6_K,476,1,0.1572,173
Llama3.2-3B Q6_K,477,1,0.2240,494
Llama3.2-3B Q6_K,478,1,0.1526,164
Llama3.2-3B Q6_K,479,1,0.1555,298
Llama3.2-3B Q6_K,480,1,0.1539,271
Llama3.2-3B Q6_K,481,1,0.1184,106
Llama3.2-3B Q6_K,482,1,0.2253,364
Llama3.2-3B Q6_K,483,1,0.2250,401
Llama3.2-3B Q6_K,484,1,0.2218,241
Llama3.2-3B Q6_K,485,1,0.2212,352
Llama3.2-3B Q6_K,486,1,0.1586,268
Llama3.2-3B Q6_K,487,1,0.1546,186
Llama3.2-3B Q6_K,488,1,0.1555,266
Llama3.2-3B Q6_K,489,0,0.1542,196
Llama3.2-3B Q6_K,490,1,0.2235,350
Llama3.2-3B Q6_K,491,1,0.2219,342
Llama3.2-3B Q6_K,492,1,0.1573,223
Llama3.2-3B Q6_K,493,1,0.2174,301
Llama3.2-3B Q6_K,494,1,0.1550,181
Llama3.2-3B Q6_K,495,1,0.1570,186
Llama3.2-3B Q6_K,496,1,0.2201,358
Llama3.2-3B Q6_K,497,1,0.1511,147
Llama3.2-3B Q6_K,498,0,0.2247,237
Llama3.2-3B Q6_K,499,1,0.2257,478
Llama3.2-3B Q6_K,500,1,0.2239,395
Llama3.2-3B Q6_K,501,0,0.1553,267
Llama3.2-3B Q6_K,502,1,0.2239,358
Llama3.2-3B Q6_K,503,0,0.1515,168
Llama3.2-3B Q6_K,504,1,0.2260,550
Llama3.2-3B Q6_K,505,1,0.2201,216
Llama3.2-3B Q6_K,506,0,0.2288,336
Llama3.2-3B Q6_K,507,1,0.2230,305
Llama3.2-3B Q6_K,508,1,0.2233,322
Llama3.2-3B Q6_K,509,0,0.1591,217
Llama3.2-3B Q6_K,510,1,0.1594,173
Llama3.2-3B Q6_K,511,0,0.1548,134
Llama3.2-3B Q6_K,512,1,0.1565,223
Llama3.2-3B Q6_K,513,1,0.1195,93
Llama3.2-3B Q6_K,514,1,0.1546,250
Llama3.2-3B Q6_K,515,1,0.1554,261
Llama3.2-3B Q6_K,516,1,0.2257,345
Llama3.2-3B Q6_K,517,1,0.1544,244
Llama3.2-3B Q6_K,518,0,0.1529,168
Llama3.2-3B Q6_K,519,1,0.1202,111
Llama3.2-3B Q6_K,520,1,0.1514,148
Llama3.2-3B Q6_K,521,1,0.1564,224
