model,question,correct,seconds,prompt_chars
Qwen2.5-3B Q8_0,439,0,0.2211,369
Qwen2.5-3B Q8_0,440,1,0.1336,193
Qwen2.5-3B Q8_0,441,0,0.1322,149
Qwen2.5-3B Q8_0,442,1,0.2138,257
Qwen2.5-3B Q8_0,443,0,0.2212,372
Qwen2.5-3B Q8_0,444,0,0.2191,268
Qwen2.5-3B Q8_0,445,1,0.1334,212
Qwen2.5-3B Q8_0,446,1,0.1383,267
Qwen2.5-3B Q8_0,447,0,0.1328,191
Qwen2.5-3B Q8_0,448,1,0.2211,480
Qwen2.5-3B Q8_0,449,1,0.2168,339
Qwen2.5-3B Q8_0,450,1,0.2213,386
Qwen2.5-3B Q8_0,451,1,0.1289,142
Qwen2.5-3B Q8_0,452,0,0.1312,189
Qwen2.5-3B Q8_0,453,0,0.2177,320
Qwen2.5-3B Q8_0,454,1,0.2272,465
Qwen2.5-3B Q8_0,455,1,0.2250,509
Qwen2.5-3B Q8_0,456,1,0.1321,193
Qwen2.5-3B Q8_0,457,1,0.2158,299
Qwen2.5-3B Q8_0,458,1,0.3635,610
Qwen2.5-3B Q8_0,459,1,0.2161,284
Qwen2.5-3B Q8_0,460,0,0.1276,129
Qwen2.5-3B Q8_0,461,0,0.2272,476
Qwen2.5-3B Q8_0,462,1,0.2233,463
Qwen2.5-3B Q8_0,463,1,0.1336,265
Qwen2.5-3B Q8_0,464,1,0.1325,180
Qwen2.5-3B Q8_0,465,0,0.2155,307
Qwen2.5-3B Q8_0,466,1,0.2245,458
Qwen2.5-3B Q8_0,467,1,0.2149,311
Qwen2.5-3B Q8_0,468,1,0.2165,355
Qwen2.5-3B Q8_0,469,1,0.2240,425
Qwen2.5-3B Q8_0,470,1,0.2187,317
Qwen2.5-3B Q8_0,471,1,0.1341,215
Qwen2.5-3B Q8_0,472,1,0.2182,326
Qwen2.5-3B Q8_0,473,1,0.1301,167
Qwen2.5-3B Q8_0,474,1,0.2306,510
Qwen2.5-3B Q8_0,475,1,0.1340,223
Qwen2.5-3B Q8_0,476,1,0.1317,173
Qwen2.5-3B Q8_0,477,0,0.2260,494
Qwen2.5-3B Q8_0,478,1,0.1322,164
Qwen2.5-3B Q8_0,479,1,0.1346,298
Qwen2.5-3B Q8_0,480,1,0.1366,271
Qwen2.5-3B Q8_0,481,1,0.0997,106
Qwen2.5-3B Q8_0,482,1,0.2186,364
Qwen2.5-3B Q8_0,483,1,0.2242,401
Qwen2.5-3B Q8_0,484,1,0.2137,241
Qwen2.5-3B Q8_0,485,1,0.2191,352
Qwen2.5-3B Q8_0,486,1,0.1336,268
Qwen2.5-3B Q8_0,487,1,0.1324,186
Qwen2.5-3B Q8_0,488,1,0.1363,266
Qwen2.5-3B Q8_0,489,1,0.1314,196
Qwen2.5-3B Q8_0,490,1,0.2184,350
Qwen2.5-3B Q8_0,491,1,0.2163,342
Qwen2.5-3B Q8_0,492,1,0.1331,223
Qwen2.5-3B Q8_0,493,1,0.2157,301
Qwen2.5-3B Q8_0,494,1,0.1318,181
Qwen2.5-3B Q8_0,495,1,0.1368,186
Qwen2.5-3B Q8_0,496,1,0.2159,358
Qwen2.5-3B Q8_0,497,0,0.1291,147
Qwen2.5-3B Q8_0,498,0,0.2255,237
Qwen2.5-3B Q8_0,499,1,0.2221,478
Qwen2.5-3B Q8_0,500,1,0.2219,395
Qwen2.5-3B Q8_0,501,1,0.1339,267
Qwen2.5-3B Q8_0,502,1,0.2181,358
Qwen2.5-3B Q8_0,503,0,0.1327,168
Qwen2.5-3B Q8_0,504,1,0.2280,550
Qwen2.5-3B Q8_0,505,0,0.2182,216
Qwen2.5-3B Q8_0,506,1,0.2313,336
Qwen2.5-3B Q8_0,507,1,0.2181,305
Qwen2.5-3B Q8_0,508,1,0.2180,322
Qwen2.5-3B Q8_0,509,0,0.1312,217
Qwen2.5-3B Q8_0,510,1,0.1334,173
Qwen2.5-3B Q8_0,511,0,0.1314,134
Qwen2.5-3B Q8_0,512,1,0.1342,223
Qwen2.5-3B Q8_0,513,1,0.0998,93
Qwen2.5-3B Q8_0,514,1,0.1336,250
Qwen2.5-3B Q8_0,515,1,0.1372,261
Qwen2.5-3B Q8_0,516,0,0.2197,345
Qwen2.5-3B Q8_0,517,1,0.1349,244
Qwen2.5-3B Q8_0,518,0,0.1334,168
Qwen2.5-3B Q8_0,519,1,0.0996,111
Qwen2.5-3B Q8_0,520,1,0.1297,148
Qwen2.5-3B Q8_0,521,1,0.1340,224
Qwen2.5-3B Q8_0,522,1,0.1319,137
Qwen2.5-3B Q8_0,523,0,0.2192,529
Qwen2.5-3B Q8_0,524,1,0.2212,431
Qwen2.5-3B Q8_0,525,1,0.1283,129
Qwen2.5-3B Q8_0,526,1,0.2152,315
Qwen2.5-3B Q8_0,527,0,0.1335,265
Qwen2.5-3B Q8_0,528,1,0.1377,242
Qwen2.5-3B Q8_0,529,1,0.2148,300
Qwen2.5-3B Q8_0,530,0,0.1319,226
Qwen2.5-3B Q8_0,531,1,0.2192,383
Qwen2.5-3B Q8_0,532,1,0.2223,398
Qwen2.5-3B Q8_0,533,1,0.1321,160
Qwen2.5-3B Q8_0,534,1,0.1269,177
Qwen2.5-3B Q8_0,535,0,0.0978,119
Qwen2.5-3B Q8_0,536,1,0.1315,183
Qwen2.5-3B Q8_0,537,1,0.1347,290
Qwen2.5-3B Q8_0,538,1,0.1309,285
Qwen2.5-3B Q8_0,539,1,0.1351,286
Qwen2.5-3B Q8_0,540,1,0.1328,244
Qwen2.5-3B Q8_0,541,1,0.2197,308
Qwen2.5-3B Q8_0,542,1,0.2177,296
Qwen2.5-3B Q8_0,543,1,0.2307,570
Qwen2.5-3B Q8_0,544,1,0.3714,843
Qwen2.5-3B Q8_0,545,0,0.1401,184
Qwen2.5-3B Q8_0,546,0,0.1337,202
Qwen2.5-3B Q8_0,547,1,0.1283,124
Qwen2.5-3B Q8_0,548,0,0.2239,299
Qwen2.5-3B Q8_0,549,1,0.1317,196
Qwen2.5-3B Q8_0,550,1,0.1315,200
Qwen2.5-3B Q8_0,551,1,0.1336,206
Qwen2.5-3B Q8_0,552,1,0.1343,274
Qwen2.5-3B Q8_0,553,1,0.0984,88
Qwen2.5-3B Q8_0,554,1,0.2120,292
Qwen2.5-3B Q8_0,555,1,0.1356,251
Qwen2.5-3B Q8_0,556,1,0.2240,553
Qwen2.5-3B Q8_0,557,1,0.2226,388
Qwen2.5-3B Q8_0,558,1,0.1298,176
Qwen2.5-3B Q8_0,559,1,0.1295,159
Qwen2.5-3B Q8_0,560,1,0.2158,374
Qwen2.5-3B Q8_0,561,1,0.1312,206
Qwen2.5-3B Q8_0,562,1,0.1344,174
Qwen2.5-3B Q8_0,563,0,0.2287,556
Qwen2.5-3B Q8_0,564,1,0.1358,197
Qwen2.5-3B Q8_0,565,1,0.2168,370
Qwen2.5-3B Q8_0,566,1,0.2281,490
Qwen2.5-3B Q8_0,567,1,0.1306,154
Qwen2.5-3B Q8_0,568,1,0.2144,299
Qwen2.5-3B Q8_0,569,1,0.1366,245
Qwen2.5-3B Q8_0,570,0,0.1345,264
Qwen2.5-3B Q8_0,571,1,0.1290,149
Qwen2.5-3B Q8_0,572,1,0.1310,158
Qwen2.5-3B Q8_0,573,0,0.2216,348
Qwen2.5-3B Q8_0,574,1,0.3673,640
Qwen2.5-3B Q8_0,575,1,0.1303,90
Qwen2.5-3B Q8_0,576,1,0.1338,198
Qwen2.5-3B Q8_0,577,1,0.2264,493
Qwen2.5-3B Q8_0,578,1,0.1353,162
Qwen2.5-3B Q8_0,579,1,0.2200,319
Qwen2.5-3B Q8_0,580,1,0.1297,171
Qwen2.5-3B Q8_0,581,1,0.1357,287
Qwen2.5-3B Q8_0,582,1,0.1275,139
Qwen2.5-3B Q8_0,583,0,0.1322,252
Qwen2.5-3B Q8_0,584,1,0.3642,659
Qwen2.5-3B Q8_0,585,1,0.1358,263
Qwen2.5-3B Q8_0,586,1,0.1324,200
Qwen2.5-3B Q8_0,587,1,0.1319,190
Qwen2.5-3B Q8_0,588,1,0.3656,607
Qwen2.5-3B Q8_0,589,1,0.1308,145
