model,question,correct,seconds,prompt_chars
Qwen2.5-3B Q6_K,117,1,0.1601,198
Qwen2.5-3B Q6_K,118,1,0.2534,247
Qwen2.5-3B Q6_K,119,1,0.2473,392
Qwen2.5-3B Q6_K,120,0,0.2478,348
Qwen2.5-3B Q6_K,121,1,0.1601,175
Qwen2.5-3B Q6_K,122,1,0.1671,314
Qwen2.5-3B Q6_K,123,1,0.2474,309
Qwen2.5-3B Q6_K,124,1,0.2467,334
Qwen2.5-3B Q6_K,125,1,0.1965,212
Qwen2.5-3B Q6_K,126,0,0.1591,143
Qwen2.5-3B Q6_K,127,1,0.1505,155
Qwen2.5-3B Q6_K,128,0,0.1252,126
Qwen2.5-3B Q6_K,129,0,0.1614,214
Qwen2.5-3B Q6_K,130,1,0.1616,154
Qwen2.5-3B Q6_K,131,1,0.1555,176
Qwen2.5-3B Q6_K,132,1,0.1578,168
Qwen2.5-3B Q6_K,133,1,0.1557,212
Qwen2.5-3B Q6_K,134,1,0.2443,356
Qwen2.5-3B Q6_K,135,0,0.2475,344
Qwen2.5-3B Q6_K,136,1,0.2539,380
Qwen2.5-3B Q6_K,137,1,0.1549,267
Qwen2.5-3B Q6_K,138,1,0.2346,309
Qwen2.5-3B Q6_K,139,1,0.1557,228
Qwen2.5-3B Q6_K,140,1,0.2416,295
Qwen2.5-3B Q6_K,141,1,0.2399,320
Qwen2.5-3B Q6_K,142,1,0.1598,217
Qwen2.5-3B Q6_K,143,1,0.2489,366
Qwen2.5-3B Q6_K,144,1,0.1614,193
Qwen2.5-3B Q6_K,145,1,0.2515,491
Qwen2.5-3B Q6_K,146,0,0.1620,184
Qwen2.5-3B Q6_K,147,0,0.1638,226
Qwen2.5-3B Q6_K,148,1,0.1495,91
Qwen2.5-3B Q6_K,149,1,0.1631,225
Qwen2.5-3B Q6_K,150,1,0.1600,257
Qwen2.5-3B Q6_K,151,1,0.1740,185
Qwen2.5-3B Q6_K,152,1,0.1822,163
Qwen2.5-3B Q6_K,153,0,0.2470,371
Qwen2.5-3B Q6_K,154,1,0.2445,319
Qwen2.5-3B Q6_K,155,1,0.1626,207
Qwen2.5-3B Q6_K,156,0,0.1581,118
Qwen2.5-3B Q6_K,157,1,0.1499,182
Qwen2.5-3B Q6_K,158,1,0.1515,177
Qwen2.5-3B Q6_K,159,1,0.1499,171
Qwen2.5-3B Q6_K,160,1,0.1549,265
Qwen2.5-3B Q6_K,161,1,0.1527,164
Qwen2.5-3B Q6_K,162,0,0.2480,532
Qwen2.5-3B Q6_K,163,1,0.1537,322
Qwen2.5-3B Q6_K,164,1,0.1529,152
Qwen2.5-3B Q6_K,165,0,0.1153,110
Qwen2.5-3B Q6_K,166,1,0.1534,228
Qwen2.5-3B Q6_K,167,1,0.1556,226
Qwen2.5-3B Q6_K,168,0,0.1531,192
Qwen2.5-3B Q6_K,169,1,0.2340,308
Qwen2.5-3B Q6_K,170,0,0.4052,324
Qwen2.5-3B Q6_K,171,1,0.1640,297
Qwen2.5-3B Q6_K,172,1,0.2444,332
Qwen2.5-3B Q6_K,173,1,0.1505,273
Qwen2.5-3B Q6_K,174,0,0.1564,145
Qwen2.5-3B Q6_K,175,0,0.2472,439
Qwen2.5-3B Q6_K,176,1,0.2356,263
