model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q6_K,117,1,0.0944,198
glm-edge-1.5b Q6_K,118,0,0.1358,247
glm-edge-1.5b Q6_K,119,1,0.1252,392
glm-edge-1.5b Q6_K,120,1,0.1254,348
glm-edge-1.5b Q6_K,121,1,0.0847,175
glm-edge-1.5b Q6_K,122,0,0.1235,314
glm-edge-1.5b Q6_K,123,1,0.1272,309
glm-edge-1.5b Q6_K,124,1,0.1240,334
glm-edge-1.5b Q6_K,125,1,0.0859,212
glm-edge-1.5b Q6_K,126,0,0.0833,143
glm-edge-1.5b Q6_K,127,0,0.0837,155
glm-edge-1.5b Q6_K,128,1,0.0834,126
glm-edge-1.5b Q6_K,129,1,0.0877,214
glm-edge-1.5b Q6_K,130,0,0.0843,154
glm-edge-1.5b Q6_K,131,1,0.0858,176
glm-edge-1.5b Q6_K,132,1,0.0830,168
glm-edge-1.5b Q6_K,133,1,0.0861,212
glm-edge-1.5b Q6_K,134,0,0.1330,356
glm-edge-1.5b Q6_K,135,1,0.1226,344
glm-edge-1.5b Q6_K,136,1,0.1243,380
glm-edge-1.5b Q6_K,137,1,0.0882,267
glm-edge-1.5b Q6_K,138,1,0.1234,309
glm-edge-1.5b Q6_K,139,0,0.0888,228
glm-edge-1.5b Q6_K,140,1,0.1271,295
glm-edge-1.5b Q6_K,141,1,0.1242,320
glm-edge-1.5b Q6_K,142,0,0.0865,217
glm-edge-1.5b Q6_K,143,1,0.1295,366
glm-edge-1.5b Q6_K,144,1,0.0831,193
glm-edge-1.5b Q6_K,145,0,0.1320,491
glm-edge-1.5b Q6_K,146,1,0.0818,184
glm-edge-1.5b Q6_K,147,0,0.0869,226
glm-edge-1.5b Q6_K,148,0,0.0853,91
glm-edge-1.5b Q6_K,149,1,0.0868,225
glm-edge-1.5b Q6_K,150,1,0.0874,257
glm-edge-1.5b Q6_K,151,1,0.0830,185
glm-edge-1.5b Q6_K,152,1,0.0865,163
glm-edge-1.5b Q6_K,153,0,0.1275,371
glm-edge-1.5b Q6_K,154,0,0.1251,319
glm-edge-1.5b Q6_K,155,1,0.0842,207
glm-edge-1.5b Q6_K,156,0,0.0864,118
glm-edge-1.5b Q6_K,157,1,0.0859,182
glm-edge-1.5b Q6_K,158,1,0.0895,177
glm-edge-1.5b Q6_K,159,1,0.0881,171
glm-edge-1.5b Q6_K,160,1,0.0858,265
glm-edge-1.5b Q6_K,161,1,0.0825,164
glm-edge-1.5b Q6_K,162,0,0.1327,532
glm-edge-1.5b Q6_K,163,1,0.0886,322
glm-edge-1.5b Q6_K,164,1,0.0861,152
glm-edge-1.5b Q6_K,165,0,0.0839,110
glm-edge-1.5b Q6_K,166,1,0.0870,228
glm-edge-1.5b Q6_K,167,1,0.0946,226
glm-edge-1.5b Q6_K,168,1,0.0869,192
glm-edge-1.5b Q6_K,169,1,0.1276,308
glm-edge-1.5b Q6_K,170,1,0.2183,324
glm-edge-1.5b Q6_K,171,1,0.1204,297
glm-edge-1.5b Q6_K,172,1,0.1239,332
glm-edge-1.5b Q6_K,173,1,0.0887,273
glm-edge-1.5b Q6_K,174,0,0.0860,145
glm-edge-1.5b Q6_K,175,0,0.1340,439
glm-edge-1.5b Q6_K,176,1,0.1181,263
glm-edge-1.5b Q6_K,177,1,0.1262,382
glm-edge-1.5b Q6_K,178,1,0.0865,202
glm-edge-1.5b Q6_K,179,1,0.0830,120
glm-edge-1.5b Q6_K,180,0,0.0825,143
glm-edge-1.5b Q6_K,181,1,0.1274,380
glm-edge-1.5b Q6_K,182,1,0.0837,169
glm-edge-1.5b Q6_K,183,1,0.1294,353
glm-edge-1.5b Q6_K,184,1,0.1275,382
glm-edge-1.5b Q6_K,185,1,0.1321,573
glm-edge-1.5b Q6_K,186,0,0.1317,473
glm-edge-1.5b Q6_K,187,0,0.1265,287
glm-edge-1.5b Q6_K,188,1,0.0832,179
glm-edge-1.5b Q6_K,189,1,0.0857,235
glm-edge-1.5b Q6_K,190,0,0.0874,246
glm-edge-1.5b Q6_K,191,0,0.1271,294
glm-edge-1.5b Q6_K,192,0,0.0858,174
glm-edge-1.5b Q6_K,193,1,0.1286,372
glm-edge-1.5b Q6_K,194,1,0.1257,423
glm-edge-1.5b Q6_K,195,0,0.1260,263
glm-edge-1.5b Q6_K,196,1,0.1657,434
glm-edge-1.5b Q6_K,197,0,0.1603,305
glm-edge-1.5b Q6_K,198,1,0.1260,319
glm-edge-1.5b Q6_K,199,1,0.0907,236
glm-edge-1.5b Q6_K,200,1,0.1260,285
glm-edge-1.5b Q6_K,201,1,0.0866,350
glm-edge-1.5b Q6_K,202,1,0.0835,148
glm-edge-1.5b Q6_K,203,1,0.0868,271
glm-edge-1.5b Q6_K,204,1,0.0862,241
glm-edge-1.5b Q6_K,205,1,0.1262,185
glm-edge-1.5b Q6_K,206,1,0.1249,375
glm-edge-1.5b Q6_K,207,1,0.1283,443
glm-edge-1.5b Q6_K,208,0,0.1239,361
glm-edge-1.5b Q6_K,209,1,0.0856,223
glm-edge-1.5b Q6_K,210,1,0.0877,251
glm-edge-1.5b Q6_K,211,0,0.1333,290
glm-edge-1.5b Q6_K,212,0,0.0831,254
glm-edge-1.5b Q6_K,213,1,0.1288,407
glm-edge-1.5b Q6_K,214,1,0.1295,476
glm-edge-1.5b Q6_K,215,1,0.1244,294
glm-edge-1.5b Q6_K,216,1,0.0856,241
glm-edge-1.5b Q6_K,217,1,0.1226,262
glm-edge-1.5b Q6_K,218,1,0.0675,91
glm-edge-1.5b Q6_K,219,1,0.1231,274
glm-edge-1.5b Q6_K,220,1,0.1210,274
glm-edge-1.5b Q6_K,221,1,0.1216,335
glm-edge-1.5b Q6_K,222,0,0.0823,184
glm-edge-1.5b Q6_K,223,0,0.1258,334
glm-edge-1.5b Q6_K,224,0,0.0824,156
glm-edge-1.5b Q6_K,225,1,0.1246,355
glm-edge-1.5b Q6_K,226,1,0.1274,382
glm-edge-1.5b Q6_K,227,1,0.1251,340
glm-edge-1.5b Q6_K,228,1,0.0844,172
glm-edge-1.5b Q6_K,229,1,0.0895,286
glm-edge-1.5b Q6_K,230,0,0.2129,676
glm-edge-1.5b Q6_K,231,0,0.2300,928
glm-edge-1.5b Q6_K,232,0,0.0868,207
glm-edge-1.5b Q6_K,233,1,0.0840,91
glm-edge-1.5b Q6_K,234,0,0.0857,173
glm-edge-1.5b Q6_K,235,1,0.0850,239
glm-edge-1.5b Q6_K,236,0,0.1272,274
glm-edge-1.5b Q6_K,237,1,0.1266,314
glm-edge-1.5b Q6_K,238,1,0.1284,415
glm-edge-1.5b Q6_K,239,1,0.0874,206
glm-edge-1.5b Q6_K,240,1,0.0858,239
glm-edge-1.5b Q6_K,241,1,0.1272,317
glm-edge-1.5b Q6_K,242,1,0.0871,266
glm-edge-1.5b Q6_K,243,1,0.0829,156
glm-edge-1.5b Q6_K,244,0,0.1284,399
glm-edge-1.5b Q6_K,245,1,0.0865,273
glm-edge-1.5b Q6_K,246,1,0.0884,247
glm-edge-1.5b Q6_K,247,1,0.1267,328
glm-edge-1.5b Q6_K,248,1,0.0798,185
glm-edge-1.5b Q6_K,249,0,0.0825,137
glm-edge-1.5b Q6_K,250,1,0.0870,224
glm-edge-1.5b Q6_K,251,1,0.1243,413
glm-edge-1.5b Q6_K,252,0,0.1278,323
glm-edge-1.5b Q6_K,253,1,0.0834,174
glm-edge-1.5b Q6_K,254,1,0.1261,314
glm-edge-1.5b Q6_K,255,1,0.0865,217
glm-edge-1.5b Q6_K,256,1,0.0857,136
glm-edge-1.5b Q6_K,257,0,0.1343,494
glm-edge-1.5b Q6_K,258,1,0.1212,328
glm-edge-1.5b Q6_K,259,0,0.1266,224
glm-edge-1.5b Q6_K,260,1,0.1226,314
glm-edge-1.5b Q6_K,261,1,0.0826,181
glm-edge-1.5b Q6_K,262,1,0.1222,289
glm-edge-1.5b Q6_K,263,1,0.0826,146
glm-edge-1.5b Q6_K,264,0,0.1263,253
glm-edge-1.5b Q6_K,265,0,0.1270,300
glm-edge-1.5b Q6_K,266,1,0.0841,206
glm-edge-1.5b Q6_K,267,0,0.1234,263
glm-edge-1.5b Q6_K,268,1,0.1293,356
glm-edge-1.5b Q6_K,269,1,0.2255,946
glm-edge-1.5b Q6_K,270,1,0.0823,254
glm-edge-1.5b Q6_K,271,1,0.0647,112
glm-edge-1.5b Q6_K,272,1,0.0839,201
glm-edge-1.5b Q6_K,273,1,0.0858,244
glm-edge-1.5b Q6_K,274,1,0.0833,236
glm-edge-1.5b Q6_K,275,0,0.1293,349
glm-edge-1.5b Q6_K,276,1,0.1223,178
glm-edge-1.5b Q6_K,277,1,0.0855,244
glm-edge-1.5b Q6_K,278,1,0.1285,391
glm-edge-1.5b Q6_K,279,1,0.0862,235
glm-edge-1.5b Q6_K,280,1,0.1236,160
glm-edge-1.5b Q6_K,281,1,0.1242,392
glm-edge-1.5b Q6_K,282,1,0.0889,264
glm-edge-1.5b Q6_K,283,1,0.0879,211
glm-edge-1.5b Q6_K,284,1,0.1333,444
glm-edge-1.5b Q6_K,285,1,0.0848,147
glm-edge-1.5b Q6_K,286,1,0.1247,336
glm-edge-1.5b Q6_K,287,0,0.1221,290
glm-edge-1.5b Q6_K,288,1,0.0849,213
glm-edge-1.5b Q6_K,289,1,0.1263,428
glm-edge-1.5b Q6_K,290,0,0.1294,542
glm-edge-1.5b Q6_K,291,0,0.1299,252
glm-edge-1.5b Q6_K,292,0,0.0838,170
glm-edge-1.5b Q6_K,293,1,0.0896,245
glm-edge-1.5b Q6_K,294,1,0.0827,168
glm-edge-1.5b Q6_K,295,1,0.0806,138
glm-edge-1.5b Q6_K,296,1,0.0875,300
glm-edge-1.5b Q6_K,297,1,0.0865,232
glm-edge-1.5b Q6_K,298,1,0.1287,492
glm-edge-1.5b Q6_K,299,0,0.1323,493
glm-edge-1.5b Q6_K,300,1,0.0865,225
glm-edge-1.5b Q6_K,301,0,0.1295,223
glm-edge-1.5b Q6_K,302,1,0.0972,210
glm-edge-1.5b Q6_K,303,1,0.0961,322
glm-edge-1.5b Q6_K,304,1,0.0972,232
glm-edge-1.5b Q6_K,305,1,0.0921,134
glm-edge-1.5b Q6_K,306,1,0.0847,272
glm-edge-1.5b Q6_K,307,0,0.0844,224
glm-edge-1.5b Q6_K,308,1,0.0824,196
glm-edge-1.5b Q6_K,309,1,0.0853,241
glm-edge-1.5b Q6_K,310,0,0.2183,667
glm-edge-1.5b Q6_K,311,0,0.1273,361
glm-edge-1.5b Q6_K,312,1,0.0660,100
glm-edge-1.5b Q6_K,313,0,0.1238,223
glm-edge-1.5b Q6_K,314,1,0.1239,311
glm-edge-1.5b Q6_K,315,0,0.1254,285
glm-edge-1.5b Q6_K,316,1,0.0835,272
glm-edge-1.5b Q6_K,317,1,0.1231,337
glm-edge-1.5b Q6_K,318,1,0.1295,550
glm-edge-1.5b Q6_K,319,0,0.0832,129
glm-edge-1.5b Q6_K,320,0,0.2228,588
glm-edge-1.5b Q6_K,321,1,0.0889,228
glm-edge-1.5b Q6_K,322,1,0.1235,376
glm-edge-1.5b Q6_K,323,1,0.0875,226
glm-edge-1.5b Q6_K,324,1,0.0861,160
glm-edge-1.5b Q6_K,325,1,0.1287,476
glm-edge-1.5b Q6_K,326,1,0.0830,151
glm-edge-1.5b Q6_K,327,1,0.0859,223
glm-edge-1.5b Q6_K,328,0,0.0869,192
glm-edge-1.5b Q6_K,329,1,0.0849,152
glm-edge-1.5b Q6_K,330,0,0.1249,307
glm-edge-1.5b Q6_K,331,1,0.2107,593
glm-edge-1.5b Q6_K,332,1,0.0851,193
glm-edge-1.5b Q6_K,333,1,0.1240,219
glm-edge-1.5b Q6_K,334,0,0.1240,334
glm-edge-1.5b Q6_K,335,0,0.1249,308
glm-edge-1.5b Q6_K,336,0,0.1282,177
glm-edge-1.5b Q6_K,337,1,0.1287,402
glm-edge-1.5b Q6_K,338,0,0.1244,234
glm-edge-1.5b Q6_K,339,0,0.0856,298
glm-edge-1.5b Q6_K,340,0,0.0870,232
glm-edge-1.5b Q6_K,341,0,0.0858,165
glm-edge-1.5b Q6_K,342,1,0.0831,197
glm-edge-1.5b Q6_K,343,1,0.1292,521
glm-edge-1.5b Q6_K,344,0,0.1279,388
glm-edge-1.5b Q6_K,345,1,0.1287,377
glm-edge-1.5b Q6_K,346,0,0.0870,198
glm-edge-1.5b Q6_K,347,1,0.0894,270
glm-edge-1.5b Q6_K,348,1,0.0858,148
glm-edge-1.5b Q6_K,349,0,0.0853,250
glm-edge-1.5b Q6_K,350,0,0.0851,167
glm-edge-1.5b Q6_K,351,1,0.1284,376
glm-edge-1.5b Q6_K,352,1,0.0829,222
glm-edge-1.5b Q6_K,353,1,0.0838,216
glm-edge-1.5b Q6_K,354,0,0.0850,230
glm-edge-1.5b Q6_K,355,1,0.0896,191
glm-edge-1.5b Q6_K,356,0,0.1273,438
glm-edge-1.5b Q6_K,357,0,0.1311,387
glm-edge-1.5b Q6_K,358,0,0.0864,171
glm-edge-1.5b Q6_K,359,0,0.1227,262
glm-edge-1.5b Q6_K,360,0,0.1252,396
glm-edge-1.5b Q6_K,361,1,0.1245,264
glm-edge-1.5b Q6_K,362,1,0.0851,197
glm-edge-1.5b Q6_K,363,1,0.0829,206
glm-edge-1.5b Q6_K,364,0,0.1268,470
glm-edge-1.5b Q6_K,365,1,0.0866,224
glm-edge-1.5b Q6_K,366,1,0.0872,224
glm-edge-1.5b Q6_K,367,1,0.0882,257
glm-edge-1.5b Q6_K,368,1,0.0881,258
glm-edge-1.5b Q6_K,369,1,0.0843,219
glm-edge-1.5b Q6_K,370,0,0.1231,303
glm-edge-1.5b Q6_K,371,0,0.0867,125
glm-edge-1.5b Q6_K,372,0,0.1261,302
glm-edge-1.5b Q6_K,373,0,0.1211,232
glm-edge-1.5b Q6_K,374,1,0.2185,663
glm-edge-1.5b Q6_K,375,1,0.1293,263
glm-edge-1.5b Q6_K,376,1,0.0854,287
glm-edge-1.5b Q6_K,377,0,0.0869,143
glm-edge-1.5b Q6_K,378,1,0.1276,377
glm-edge-1.5b Q6_K,379,0,0.0856,246
glm-edge-1.5b Q6_K,380,1,0.1245,273
glm-edge-1.5b Q6_K,381,1,0.0847,231
glm-edge-1.5b Q6_K,382,1,0.1255,300
glm-edge-1.5b Q6_K,383,1,0.1228,328
glm-edge-1.5b Q6_K,384,0,0.1260,252
glm-edge-1.5b Q6_K,385,0,0.0821,149
glm-edge-1.5b Q6_K,386,0,0.0852,173
glm-edge-1.5b Q6_K,387,1,0.1283,453
glm-edge-1.5b Q6_K,388,1,0.0856,268
glm-edge-1.5b Q6_K,389,1,0.1257,367
glm-edge-1.5b Q6_K,390,1,0.1253,345
glm-edge-1.5b Q6_K,391,0,0.0891,453
glm-edge-1.5b Q6_K,392,0,0.1332,479
glm-edge-1.5b Q6_K,393,1,0.1276,314
glm-edge-1.5b Q6_K,394,0,0.1335,442
glm-edge-1.5b Q6_K,395,1,0.0821,200
glm-edge-1.5b Q6_K,396,1,0.1300,491
glm-edge-1.5b Q6_K,397,1,0.0875,291
glm-edge-1.5b Q6_K,398,1,0.1258,393
glm-edge-1.5b Q6_K,399,0,0.1313,359
glm-edge-1.5b Q6_K,400,0,0.0683,120
glm-edge-1.5b Q6_K,401,1,0.1290,401
glm-edge-1.5b Q6_K,402,1,0.1293,371
glm-edge-1.5b Q6_K,403,1,0.1240,322
glm-edge-1.5b Q6_K,404,0,0.1256,440
glm-edge-1.5b Q6_K,405,1,0.1273,393
glm-edge-1.5b Q6_K,406,1,0.1250,335
glm-edge-1.5b Q6_K,407,1,0.1256,390
glm-edge-1.5b Q6_K,408,1,0.1507,457
glm-edge-1.5b Q6_K,409,0,0.1661,285
glm-edge-1.5b Q6_K,410,1,0.1432,370
glm-edge-1.5b Q6_K,411,0,0.0927,240
glm-edge-1.5b Q6_K,412,1,0.0852,174
glm-edge-1.5b Q6_K,413,0,0.1296,310
glm-edge-1.5b Q6_K,414,0,0.1290,323
glm-edge-1.5b Q6_K,415,0,0.1343,344
glm-edge-1.5b Q6_K,416,0,0.2166,724
glm-edge-1.5b Q6_K,417,1,0.0879,171
glm-edge-1.5b Q6_K,418,1,0.0874,260
glm-edge-1.5b Q6_K,419,1,0.1296,386
glm-edge-1.5b Q6_K,420,0,0.0846,134
glm-edge-1.5b Q6_K,421,1,0.1295,406
glm-edge-1.5b Q6_K,422,1,0.1271,444
glm-edge-1.5b Q6_K,423,0,0.1277,414
glm-edge-1.5b Q6_K,424,1,0.1262,407
glm-edge-1.5b Q6_K,425,1,0.1297,449
glm-edge-1.5b Q6_K,426,1,0.1284,268
glm-edge-1.5b Q6_K,427,0,0.0824,165
glm-edge-1.5b Q6_K,428,1,0.1280,492
glm-edge-1.5b Q6_K,429,1,0.0837,196
glm-edge-1.5b Q6_K,430,1,0.0671,100
glm-edge-1.5b Q6_K,431,1,0.1327,586
glm-edge-1.5b Q6_K,432,0,0.1231,375
glm-edge-1.5b Q6_K,433,1,0.0866,272
glm-edge-1.5b Q6_K,434,1,0.2177,606
glm-edge-1.5b Q6_K,435,0,0.2195,405
glm-edge-1.5b Q6_K,436,0,0.2109,598
glm-edge-1.5b Q6_K,437,1,0.0851,178
glm-edge-1.5b Q6_K,438,1,0.2256,580
glm-edge-1.5b Q6_K,439,0,0.1320,369
glm-edge-1.5b Q6_K,440,1,0.0942,193
glm-edge-1.5b Q6_K,441,0,0.0963,149
glm-edge-1.5b Q6_K,442,0,0.1353,257
glm-edge-1.5b Q6_K,443,0,0.1333,372
glm-edge-1.5b Q6_K,444,0,0.1348,268
glm-edge-1.5b Q6_K,445,1,0.0946,212
glm-edge-1.5b Q6_K,446,1,0.1348,267
glm-edge-1.5b Q6_K,447,0,0.0938,191
glm-edge-1.5b Q6_K,448,1,0.1390,480
glm-edge-1.5b Q6_K,449,1,0.1263,339
glm-edge-1.5b Q6_K,450,1,0.1275,386
glm-edge-1.5b Q6_K,451,1,0.0840,142
glm-edge-1.5b Q6_K,452,0,0.0812,189
glm-edge-1.5b Q6_K,453,1,0.1289,320
glm-edge-1.5b Q6_K,454,1,0.1271,465
glm-edge-1.5b Q6_K,455,1,0.1297,509
glm-edge-1.5b Q6_K,456,1,0.0862,193
glm-edge-1.5b Q6_K,457,1,0.1246,299
glm-edge-1.5b Q6_K,458,1,0.2237,610
glm-edge-1.5b Q6_K,459,1,0.1273,284
glm-edge-1.5b Q6_K,460,1,0.0832,129
glm-edge-1.5b Q6_K,461,0,0.1322,476
glm-edge-1.5b Q6_K,462,1,0.1299,463
glm-edge-1.5b Q6_K,463,1,0.0851,265
glm-edge-1.5b Q6_K,464,1,0.0841,180
glm-edge-1.5b Q6_K,465,0,0.1260,307
