model,question,correct,seconds,prompt_chars
SmolLM2-1.7B Q4_K_M,0,1,0.1527,321
SmolLM2-1.7B Q4_K_M,1,1,0.1257,444
SmolLM2-1.7B Q4_K_M,2,0,0.1410,355
SmolLM2-1.7B Q4_K_M,3,0,0.1496,408
SmolLM2-1.7B Q4_K_M,4,0,0.1472,470
SmolLM2-1.7B Q4_K_M,5,1,0.1458,499
SmolLM2-1.7B Q4_K_M,6,1,0.1446,516
SmolLM2-1.7B Q4_K_M,7,0,0.1384,342
SmolLM2-1.7B Q4_K_M,8,0,0.1432,480
SmolLM2-1.7B Q4_K_M,9,1,0.0894,224
SmolLM2-1.7B Q4_K_M,10,0,0.0886,275
SmolLM2-1.7B Q4_K_M,11,1,0.0936,262
SmolLM2-1.7B Q4_K_M,12,1,0.1331,185
SmolLM2-1.7B Q4_K_M,13,1,0.1328,293
SmolLM2-1.7B Q4_K_M,14,0,0.0860,168
SmolLM2-1.7B Q4_K_M,15,0,0.0878,153
SmolLM2-1.7B Q4_K_M,16,1,0.1386,468
SmolLM2-1.7B Q4_K_M,17,0,0.1384,338
SmolLM2-1.7B Q4_K_M,18,0,0.1440,485
SmolLM2-1.7B Q4_K_M,19,0,0.1419,352
SmolLM2-1.7B Q4_K_M,20,1,0.1378,332
SmolLM2-1.7B Q4_K_M,21,1,0.2310,322
SmolLM2-1.7B Q4_K_M,22,1,0.0916,232
SmolLM2-1.7B Q4_K_M,23,1,0.1465,325
SmolLM2-1.7B Q4_K_M,24,0,0.0869,105
SmolLM2-1.7B Q4_K_M,25,0,0.1372,235
SmolLM2-1.7B Q4_K_M,26,0,0.1425,436
SmolLM2-1.7B Q4_K_M,27,0,0.1421,446
SmolLM2-1.7B Q4_K_M,28,1,0.1358,319
SmolLM2-1.7B Q4_K_M,29,1,0.0877,167
SmolLM2-1.7B Q4_K_M,30,0,0.1418,379
SmolLM2-1.7B Q4_K_M,31,1,0.0907,289
SmolLM2-1.7B Q4_K_M,32,1,0.0928,192
SmolLM2-1.7B Q4_K_M,33,1,0.0909,241
SmolLM2-1.7B Q4_K_M,34,0,0.0855,128
SmolLM2-1.7B Q4_K_M,35,1,0.1391,445
SmolLM2-1.7B Q4_K_M,36,0,0.1449,376
SmolLM2-1.7B Q4_K_M,37,0,0.1464,274
SmolLM2-1.7B Q4_K_M,38,1,0.0972,284
SmolLM2-1.7B Q4_K_M,39,1,0.1459,431
SmolLM2-1.7B Q4_K_M,40,1,0.0977,270
SmolLM2-1.7B Q4_K_M,41,0,0.0922,179
SmolLM2-1.7B Q4_K_M,42,1,0.0903,129
SmolLM2-1.7B Q4_K_M,43,1,0.1489,302
SmolLM2-1.7B Q4_K_M,44,0,0.1395,380
SmolLM2-1.7B Q4_K_M,45,0,0.0954,134
SmolLM2-1.7B Q4_K_M,46,1,0.0893,153
SmolLM2-1.7B Q4_K_M,47,1,0.0894,163
SmolLM2-1.7B Q4_K_M,48,1,0.0908,221
SmolLM2-1.7B Q4_K_M,49,1,0.0915,197
SmolLM2-1.7B Q4_K_M,50,0,0.1488,419
SmolLM2-1.7B Q4_K_M,51,1,0.1516,286
SmolLM2-1.7B Q4_K_M,52,1,0.1069,196
