model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B F16,260,1,0.1547,314
Qwen2.5-1.5B F16,261,1,0.1109,181
Qwen2.5-1.5B F16,262,1,0.1493,289
Qwen2.5-1.5B F16,263,0,0.1060,146
Qwen2.5-1.5B F16,264,1,0.1083,253
Qwen2.5-1.5B F16,265,0,0.1508,300
Qwen2.5-1.5B F16,266,1,0.1081,206
Qwen2.5-1.5B F16,267,1,0.1115,263
Qwen2.5-1.5B F16,268,1,0.1655,356
Qwen2.5-1.5B F16,269,1,0.2434,946
Qwen2.5-1.5B F16,270,1,0.1153,254
Qwen2.5-1.5B F16,271,1,0.0876,112
Qwen2.5-1.5B F16,272,1,0.1079,201
Qwen2.5-1.5B F16,273,1,0.1117,244
Qwen2.5-1.5B F16,274,1,0.1135,236
Qwen2.5-1.5B F16,275,0,0.1673,349
Qwen2.5-1.5B F16,276,1,0.1116,178
Qwen2.5-1.5B F16,277,1,0.1131,244
Qwen2.5-1.5B F16,278,1,0.1667,391
Qwen2.5-1.5B F16,279,1,0.1122,235
Qwen2.5-1.5B F16,280,1,0.1461,160
Qwen2.5-1.5B F16,281,1,0.1571,392
Qwen2.5-1.5B F16,282,0,0.1127,264
Qwen2.5-1.5B F16,283,1,0.1134,211
Qwen2.5-1.5B F16,284,0,0.1690,444
Qwen2.5-1.5B F16,285,0,0.1173,147
Qwen2.5-1.5B F16,286,1,0.1177,336
Qwen2.5-1.5B F16,287,1,0.1550,290
Qwen2.5-1.5B F16,288,1,0.1129,213
Qwen2.5-1.5B F16,289,1,0.1664,428
Qwen2.5-1.5B F16,290,0,0.1795,542
Qwen2.5-1.5B F16,291,0,0.1704,252
Qwen2.5-1.5B F16,292,1,0.1118,170
Qwen2.5-1.5B F16,293,1,0.1151,245
Qwen2.5-1.5B F16,294,1,0.1101,168
Qwen2.5-1.5B F16,295,1,0.1111,138
Qwen2.5-1.5B F16,296,1,0.1140,300
Qwen2.5-1.5B F16,297,1,0.1132,232
Qwen2.5-1.5B F16,298,1,0.1715,492
Qwen2.5-1.5B F16,299,0,0.1782,493
Qwen2.5-1.5B F16,300,0,0.1148,225
Qwen2.5-1.5B F16,301,1,0.1514,223
Qwen2.5-1.5B F16,302,1,0.1110,210
Qwen2.5-1.5B F16,303,1,0.1147,322
Qwen2.5-1.5B F16,304,0,0.1120,232
Qwen2.5-1.5B F16,305,1,0.1069,134
