model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q5_K_M,109,0,0.0769,144
glm-edge-1.5b Q5_K_M,110,0,0.1226,489
glm-edge-1.5b Q5_K_M,111,0,0.0787,243
glm-edge-1.5b Q5_K_M,112,0,0.1164,284
glm-edge-1.5b Q5_K_M,113,1,0.0748,177
glm-edge-1.5b Q5_K_M,114,1,0.0774,238
glm-edge-1.5b Q5_K_M,115,1,0.0795,218
glm-edge-1.5b Q5_K_M,116,1,0.0778,244
glm-edge-1.5b Q5_K_M,117,1,0.0785,198
glm-edge-1.5b Q5_K_M,118,0,0.1163,247
glm-edge-1.5b Q5_K_M,119,1,0.1157,392
glm-edge-1.5b Q5_K_M,120,1,0.1175,348
glm-edge-1.5b Q5_K_M,121,0,0.0762,175
glm-edge-1.5b Q5_K_M,122,0,0.1155,314
glm-edge-1.5b Q5_K_M,123,1,0.1157,309
glm-edge-1.5b Q5_K_M,124,1,0.1135,334
glm-edge-1.5b Q5_K_M,125,1,0.0797,212
glm-edge-1.5b Q5_K_M,126,0,0.0744,143
glm-edge-1.5b Q5_K_M,127,0,0.0760,155
glm-edge-1.5b Q5_K_M,128,0,0.0738,126
glm-edge-1.5b Q5_K_M,129,1,0.0758,214
glm-edge-1.5b Q5_K_M,130,1,0.0762,154
glm-edge-1.5b Q5_K_M,131,1,0.0793,176
glm-edge-1.5b Q5_K_M,132,1,0.0764,168
glm-edge-1.5b Q5_K_M,133,1,0.0782,212
glm-edge-1.5b Q5_K_M,134,0,0.1196,356
glm-edge-1.5b Q5_K_M,135,1,0.1125,344
glm-edge-1.5b Q5_K_M,136,1,0.1192,380
glm-edge-1.5b Q5_K_M,137,1,0.0838,267
glm-edge-1.5b Q5_K_M,138,1,0.1190,309
glm-edge-1.5b Q5_K_M,139,0,0.0779,228
glm-edge-1.5b Q5_K_M,140,1,0.1172,295
glm-edge-1.5b Q5_K_M,141,1,0.1132,320
glm-edge-1.5b Q5_K_M,142,0,0.0779,217
glm-edge-1.5b Q5_K_M,143,1,0.1176,366
glm-edge-1.5b Q5_K_M,144,1,0.0761,193
glm-edge-1.5b Q5_K_M,145,1,0.1201,491
glm-edge-1.5b Q5_K_M,146,1,0.0773,184
glm-edge-1.5b Q5_K_M,147,0,0.0791,226
glm-edge-1.5b Q5_K_M,148,0,0.0798,91
glm-edge-1.5b Q5_K_M,149,1,0.0792,225
glm-edge-1.5b Q5_K_M,150,1,0.0793,257
glm-edge-1.5b Q5_K_M,151,1,0.0766,185
glm-edge-1.5b Q5_K_M,152,1,0.0775,163
glm-edge-1.5b Q5_K_M,153,0,0.1187,371
glm-edge-1.5b Q5_K_M,154,1,0.1149,319
glm-edge-1.5b Q5_K_M,155,1,0.0780,207
glm-edge-1.5b Q5_K_M,156,0,0.0767,118
glm-edge-1.5b Q5_K_M,157,1,0.0769,182
glm-edge-1.5b Q5_K_M,158,1,0.0791,177
glm-edge-1.5b Q5_K_M,159,1,0.0777,171
glm-edge-1.5b Q5_K_M,160,1,0.0797,265
glm-edge-1.5b Q5_K_M,161,1,0.0784,164
glm-edge-1.5b Q5_K_M,162,0,0.1263,532
glm-edge-1.5b Q5_K_M,163,1,0.0793,322
glm-edge-1.5b Q5_K_M,164,1,0.0783,152
glm-edge-1.5b Q5_K_M,165,0,0.0745,110
glm-edge-1.5b Q5_K_M,166,1,0.0746,228
glm-edge-1.5b Q5_K_M,167,0,0.0782,226
glm-edge-1.5b Q5_K_M,168,1,0.0765,192
glm-edge-1.5b Q5_K_M,169,1,0.1169,308
glm-edge-1.5b Q5_K_M,170,0,0.2027,324
glm-edge-1.5b Q5_K_M,171,1,0.1195,297
glm-edge-1.5b Q5_K_M,172,1,0.1208,332
glm-edge-1.5b Q5_K_M,173,0,0.0771,273
glm-edge-1.5b Q5_K_M,174,0,0.0780,145
glm-edge-1.5b Q5_K_M,175,0,0.1206,439
glm-edge-1.5b Q5_K_M,176,1,0.1140,263
glm-edge-1.5b Q5_K_M,177,1,0.1141,382
glm-edge-1.5b Q5_K_M,178,1,0.0787,202
glm-edge-1.5b Q5_K_M,179,1,0.0766,120
glm-edge-1.5b Q5_K_M,180,0,0.0754,143
glm-edge-1.5b Q5_K_M,181,1,0.1292,380
glm-edge-1.5b Q5_K_M,182,1,0.0761,169
glm-edge-1.5b Q5_K_M,183,1,0.1192,353
glm-edge-1.5b Q5_K_M,184,1,0.1246,382
glm-edge-1.5b Q5_K_M,185,1,0.1195,573
glm-edge-1.5b Q5_K_M,186,0,0.1210,473
glm-edge-1.5b Q5_K_M,187,0,0.1161,287
glm-edge-1.5b Q5_K_M,188,1,0.0748,179
glm-edge-1.5b Q5_K_M,189,0,0.0815,235
glm-edge-1.5b Q5_K_M,190,0,0.0804,246
glm-edge-1.5b Q5_K_M,191,1,0.1197,294
glm-edge-1.5b Q5_K_M,192,0,0.0746,174
glm-edge-1.5b Q5_K_M,193,1,0.1127,372
glm-edge-1.5b Q5_K_M,194,1,0.1194,423
glm-edge-1.5b Q5_K_M,195,0,0.1151,263
glm-edge-1.5b Q5_K_M,196,1,0.1180,434
glm-edge-1.5b Q5_K_M,197,0,0.1138,305
glm-edge-1.5b Q5_K_M,198,1,0.1176,319
glm-edge-1.5b Q5_K_M,199,1,0.0770,236
glm-edge-1.5b Q5_K_M,200,1,0.1164,285
glm-edge-1.5b Q5_K_M,201,1,0.0797,350
glm-edge-1.5b Q5_K_M,202,1,0.0749,148
glm-edge-1.5b Q5_K_M,203,1,0.0764,271
glm-edge-1.5b Q5_K_M,204,1,0.0792,241
glm-edge-1.5b Q5_K_M,205,1,0.1159,185
glm-edge-1.5b Q5_K_M,206,1,0.1139,375
glm-edge-1.5b Q5_K_M,207,1,0.1154,443
glm-edge-1.5b Q5_K_M,208,0,0.1192,361
glm-edge-1.5b Q5_K_M,209,1,0.0776,223
glm-edge-1.5b Q5_K_M,210,1,0.0825,251
glm-edge-1.5b Q5_K_M,211,0,0.1289,290
glm-edge-1.5b Q5_K_M,212,0,0.0775,254
glm-edge-1.5b Q5_K_M,213,1,0.1171,407
glm-edge-1.5b Q5_K_M,214,1,0.1197,476
glm-edge-1.5b Q5_K_M,215,1,0.1139,294
glm-edge-1.5b Q5_K_M,216,1,0.0752,241
glm-edge-1.5b Q5_K_M,217,1,0.1125,262
glm-edge-1.5b Q5_K_M,218,1,0.0538,91
glm-edge-1.5b Q5_K_M,219,1,0.1135,274
glm-edge-1.5b Q5_K_M,220,1,0.1139,274
glm-edge-1.5b Q5_K_M,221,1,0.1201,335
glm-edge-1.5b Q5_K_M,222,0,0.0752,184
glm-edge-1.5b Q5_K_M,223,0,0.1183,334
glm-edge-1.5b Q5_K_M,224,0,0.0769,156
glm-edge-1.5b Q5_K_M,225,1,0.1145,355
glm-edge-1.5b Q5_K_M,226,1,0.1190,382
glm-edge-1.5b Q5_K_M,227,1,0.1150,340
glm-edge-1.5b Q5_K_M,228,1,0.0764,172
glm-edge-1.5b Q5_K_M,229,1,0.0809,286
glm-edge-1.5b Q5_K_M,230,0,0.2057,676
glm-edge-1.5b Q5_K_M,231,0,0.2114,928
glm-edge-1.5b Q5_K_M,232,0,0.0776,207
glm-edge-1.5b Q5_K_M,233,1,0.0750,91
glm-edge-1.5b Q5_K_M,234,0,0.0780,173
glm-edge-1.5b Q5_K_M,235,1,0.0762,239
glm-edge-1.5b Q5_K_M,236,0,0.1128,274
glm-edge-1.5b Q5_K_M,237,1,0.1166,314
glm-edge-1.5b Q5_K_M,238,1,0.1254,415
glm-edge-1.5b Q5_K_M,239,1,0.0798,206
glm-edge-1.5b Q5_K_M,240,1,0.0785,239
glm-edge-1.5b Q5_K_M,241,1,0.1131,317
glm-edge-1.5b Q5_K_M,242,1,0.0801,266
glm-edge-1.5b Q5_K_M,243,1,0.0755,156
