model,question,correct,seconds,prompt_chars
glm-edge-1.5b Q5_1,0,1,0.1425,321
glm-edge-1.5b Q5_1,1,1,0.0937,444
glm-edge-1.5b Q5_1,2,1,0.1011,355
glm-edge-1.5b Q5_1,3,1,0.1132,408
glm-edge-1.5b Q5_1,4,0,0.1150,470
glm-edge-1.5b Q5_1,5,1,0.1181,499
glm-edge-1.5b Q5_1,6,1,0.1139,516
glm-edge-1.5b Q5_1,7,1,0.1071,342
glm-edge-1.5b Q5_1,8,0,0.1146,480
glm-edge-1.5b Q5_1,9,1,0.0776,224
glm-edge-1.5b Q5_1,10,0,0.0713,275
glm-edge-1.5b Q5_1,11,0,0.0705,262
glm-edge-1.5b Q5_1,12,0,0.1085,185
glm-edge-1.5b Q5_1,13,1,0.1065,293
glm-edge-1.5b Q5_1,14,1,0.0667,168
glm-edge-1.5b Q5_1,15,1,0.0703,153
glm-edge-1.5b Q5_1,16,1,0.1181,468
glm-edge-1.5b Q5_1,17,1,0.1143,338
glm-edge-1.5b Q5_1,18,1,0.1120,485
glm-edge-1.5b Q5_1,19,0,0.1063,352
glm-edge-1.5b Q5_1,20,1,0.1096,332
glm-edge-1.5b Q5_1,21,1,0.1109,322
glm-edge-1.5b Q5_1,22,1,0.0712,232
glm-edge-1.5b Q5_1,23,1,0.1126,325
glm-edge-1.5b Q5_1,24,0,0.0660,105
glm-edge-1.5b Q5_1,25,0,0.0718,235
glm-edge-1.5b Q5_1,26,0,0.1104,436
glm-edge-1.5b Q5_1,27,1,0.1154,446
glm-edge-1.5b Q5_1,28,0,0.1102,319
glm-edge-1.5b Q5_1,29,1,0.0663,167
glm-edge-1.5b Q5_1,30,1,0.1123,379
glm-edge-1.5b Q5_1,31,1,0.0694,289
glm-edge-1.5b Q5_1,32,1,0.0699,192
glm-edge-1.5b Q5_1,33,1,0.0706,241
glm-edge-1.5b Q5_1,34,0,0.0676,128
glm-edge-1.5b Q5_1,35,0,0.1124,445
glm-edge-1.5b Q5_1,36,1,0.1101,376
glm-edge-1.5b Q5_1,37,0,0.1096,274
glm-edge-1.5b Q5_1,38,1,0.0703,284
glm-edge-1.5b Q5_1,39,1,0.1098,431
glm-edge-1.5b Q5_1,40,1,0.0700,270
glm-edge-1.5b Q5_1,41,0,0.0686,179
glm-edge-1.5b Q5_1,42,1,0.0701,129
glm-edge-1.5b Q5_1,43,1,0.1054,302
glm-edge-1.5b Q5_1,44,1,0.1089,380
glm-edge-1.5b Q5_1,45,1,0.0675,134
glm-edge-1.5b Q5_1,46,1,0.0678,153
glm-edge-1.5b Q5_1,47,1,0.0674,163
glm-edge-1.5b Q5_1,48,0,0.0683,221
glm-edge-1.5b Q5_1,49,0,0.0711,197
glm-edge-1.5b Q5_1,50,0,0.1116,419
glm-edge-1.5b Q5_1,51,1,0.1087,286
glm-edge-1.5b Q5_1,52,0,0.0685,196
glm-edge-1.5b Q5_1,53,0,0.0710,254
glm-edge-1.5b Q5_1,54,0,0.1066,312
glm-edge-1.5b Q5_1,55,1,0.1850,580
glm-edge-1.5b Q5_1,56,1,0.1088,316
glm-edge-1.5b Q5_1,57,1,0.1107,349
glm-edge-1.5b Q5_1,58,0,0.0662,154
glm-edge-1.5b Q5_1,59,1,0.1864,458
glm-edge-1.5b Q5_1,60,1,0.0723,147
glm-edge-1.5b Q5_1,61,1,0.0662,180
glm-edge-1.5b Q5_1,62,1,0.0700,191
glm-edge-1.5b Q5_1,63,1,0.0679,138
glm-edge-1.5b Q5_1,64,1,0.1167,480
glm-edge-1.5b Q5_1,65,1,0.0701,279
glm-edge-1.5b Q5_1,66,0,0.1151,343
glm-edge-1.5b Q5_1,67,0,0.1132,352
glm-edge-1.5b Q5_1,68,0,0.0682,182
glm-edge-1.5b Q5_1,69,0,0.0691,211
glm-edge-1.5b Q5_1,70,0,0.0709,228
glm-edge-1.5b Q5_1,71,1,0.0675,192
glm-edge-1.5b Q5_1,72,1,0.1168,391
glm-edge-1.5b Q5_1,73,1,0.0702,221
glm-edge-1.5b Q5_1,74,1,0.0705,296
glm-edge-1.5b Q5_1,75,0,0.0726,210
glm-edge-1.5b Q5_1,76,1,0.1104,399
glm-edge-1.5b Q5_1,77,1,0.1124,356
glm-edge-1.5b Q5_1,78,1,0.1115,327
glm-edge-1.5b Q5_1,79,0,0.0679,155
glm-edge-1.5b Q5_1,80,1,0.0699,193
glm-edge-1.5b Q5_1,81,1,0.0716,263
glm-edge-1.5b Q5_1,82,0,0.0686,138
glm-edge-1.5b Q5_1,83,0,0.0666,163
glm-edge-1.5b Q5_1,84,0,0.1183,505
glm-edge-1.5b Q5_1,85,1,0.0697,178
glm-edge-1.5b Q5_1,86,1,0.1861,600
glm-edge-1.5b Q5_1,87,1,0.1153,431
glm-edge-1.5b Q5_1,88,0,0.1104,221
glm-edge-1.5b Q5_1,89,0,0.0691,219
glm-edge-1.5b Q5_1,90,1,0.0697,174
glm-edge-1.5b Q5_1,91,0,0.1118,346
glm-edge-1.5b Q5_1,92,0,0.1098,307
glm-edge-1.5b Q5_1,93,1,0.1181,557
glm-edge-1.5b Q5_1,94,1,0.1054,289
glm-edge-1.5b Q5_1,95,0,0.0706,241
glm-edge-1.5b Q5_1,96,1,0.1101,388
glm-edge-1.5b Q5_1,97,1,0.0682,201
glm-edge-1.5b Q5_1,98,1,0.1078,232
glm-edge-1.5b Q5_1,99,1,0.1107,270
glm-edge-1.5b Q5_1,100,1,0.1106,466
glm-edge-1.5b Q5_1,101,1,0.1070,272
glm-edge-1.5b Q5_1,102,0,0.0685,165
glm-edge-1.5b Q5_1,103,1,0.0710,185
glm-edge-1.5b Q5_1,104,1,0.0681,232
glm-edge-1.5b Q5_1,105,0,0.1087,293
glm-edge-1.5b Q5_1,106,1,0.0706,248
glm-edge-1.5b Q5_1,107,1,0.1092,345
glm-edge-1.5b Q5_1,108,1,0.1082,294
glm-edge-1.5b Q5_1,109,0,0.0677,144
glm-edge-1.5b Q5_1,110,0,0.1185,489
glm-edge-1.5b Q5_1,111,0,0.0697,243
glm-edge-1.5b Q5_1,112,0,0.1077,284
glm-edge-1.5b Q5_1,113,1,0.0715,177
glm-edge-1.5b Q5_1,114,1,0.0691,238
glm-edge-1.5b Q5_1,115,1,0.0719,218
glm-edge-1.5b Q5_1,116,1,0.0690,244
glm-edge-1.5b Q5_1,117,1,0.0676,198
glm-edge-1.5b Q5_1,118,0,0.1095,247
glm-edge-1.5b Q5_1,119,1,0.1084,392
glm-edge-1.5b Q5_1,120,1,0.1118,348
glm-edge-1.5b Q5_1,121,0,0.0688,175
glm-edge-1.5b Q5_1,122,0,0.1082,314
glm-edge-1.5b Q5_1,123,1,0.1101,309
glm-edge-1.5b Q5_1,124,1,0.1071,334
glm-edge-1.5b Q5_1,125,1,0.0681,212
glm-edge-1.5b Q5_1,126,0,0.0687,143
glm-edge-1.5b Q5_1,127,0,0.0667,155
glm-edge-1.5b Q5_1,128,1,0.0655,126
glm-edge-1.5b Q5_1,129,1,0.0699,214
glm-edge-1.5b Q5_1,130,1,0.0669,154
glm-edge-1.5b Q5_1,131,1,0.0691,176
glm-edge-1.5b Q5_1,132,1,0.0701,168
glm-edge-1.5b Q5_1,133,1,0.0706,212
glm-edge-1.5b Q5_1,134,0,0.1120,356
glm-edge-1.5b Q5_1,135,1,0.1083,344
glm-edge-1.5b Q5_1,136,1,0.1184,380
glm-edge-1.5b Q5_1,137,1,0.0794,267
glm-edge-1.5b Q5_1,138,1,0.1077,309
glm-edge-1.5b Q5_1,139,0,0.0730,228
glm-edge-1.5b Q5_1,140,1,0.1142,295
glm-edge-1.5b Q5_1,141,1,0.1115,320
glm-edge-1.5b Q5_1,142,0,0.0800,217
glm-edge-1.5b Q5_1,143,0,0.1175,366
glm-edge-1.5b Q5_1,144,1,0.0806,193
glm-edge-1.5b Q5_1,145,1,0.1209,491
glm-edge-1.5b Q5_1,146,1,0.0786,184
glm-edge-1.5b Q5_1,147,1,0.0840,226
glm-edge-1.5b Q5_1,148,0,0.0831,91
glm-edge-1.5b Q5_1,149,1,0.0795,225
glm-edge-1.5b Q5_1,150,1,0.0801,257
glm-edge-1.5b Q5_1,151,1,0.0797,185
glm-edge-1.5b Q5_1,152,1,0.0781,163
glm-edge-1.5b Q5_1,153,0,0.1193,371
glm-edge-1.5b Q5_1,154,0,0.1514,319
glm-edge-1.5b Q5_1,155,1,0.0906,207
glm-edge-1.5b Q5_1,156,0,0.0741,118
glm-edge-1.5b Q5_1,157,1,0.0794,182
glm-edge-1.5b Q5_1,158,1,0.0868,177
glm-edge-1.5b Q5_1,159,1,0.0832,171
glm-edge-1.5b Q5_1,160,1,0.0812,265
glm-edge-1.5b Q5_1,161,1,0.0787,164
glm-edge-1.5b Q5_1,162,0,0.1240,532
glm-edge-1.5b Q5_1,163,1,0.0789,322
glm-edge-1.5b Q5_1,164,1,0.0806,152
glm-edge-1.5b Q5_1,165,1,0.0754,110
glm-edge-1.5b Q5_1,166,1,0.0829,228
glm-edge-1.5b Q5_1,167,0,0.0831,226
glm-edge-1.5b Q5_1,168,0,0.0796,192
glm-edge-1.5b Q5_1,169,1,0.1194,308
glm-edge-1.5b Q5_1,170,0,0.2007,324
glm-edge-1.5b Q5_1,171,0,0.1111,297
glm-edge-1.5b Q5_1,172,1,0.1118,332
glm-edge-1.5b Q5_1,173,1,0.0786,273
glm-edge-1.5b Q5_1,174,0,0.0775,145
glm-edge-1.5b Q5_1,175,0,0.1241,439
glm-edge-1.5b Q5_1,176,1,0.1175,263
glm-edge-1.5b Q5_1,177,1,0.1125,382
glm-edge-1.5b Q5_1,178,1,0.0717,202
glm-edge-1.5b Q5_1,179,1,0.0686,120
glm-edge-1.5b Q5_1,180,1,0.0693,143
glm-edge-1.5b Q5_1,181,1,0.1152,380
glm-edge-1.5b Q5_1,182,1,0.0689,169
glm-edge-1.5b Q5_1,183,1,0.1121,353
glm-edge-1.5b Q5_1,184,1,0.1065,382
glm-edge-1.5b Q5_1,185,1,0.1150,573
glm-edge-1.5b Q5_1,186,0,0.1179,473
glm-edge-1.5b Q5_1,187,0,0.1151,287
glm-edge-1.5b Q5_1,188,1,0.0692,179
glm-edge-1.5b Q5_1,189,0,0.0734,235
glm-edge-1.5b Q5_1,190,0,0.0707,246
glm-edge-1.5b Q5_1,191,0,0.1108,294
glm-edge-1.5b Q5_1,192,0,0.0689,174
glm-edge-1.5b Q5_1,193,1,0.1086,372
glm-edge-1.5b Q5_1,194,1,0.1107,423
glm-edge-1.5b Q5_1,195,0,0.1067,263
glm-edge-1.5b Q5_1,196,1,0.1158,434
glm-edge-1.5b Q5_1,197,0,0.1065,305
glm-edge-1.5b Q5_1,198,1,0.1082,319
glm-edge-1.5b Q5_1,199,1,0.0709,236
glm-edge-1.5b Q5_1,200,1,0.1092,285
glm-edge-1.5b Q5_1,201,1,0.0718,350
glm-edge-1.5b Q5_1,202,1,0.0672,148
glm-edge-1.5b Q5_1,203,1,0.0696,271
glm-edge-1.5b Q5_1,204,1,0.0683,241
glm-edge-1.5b Q5_1,205,1,0.1065,185
glm-edge-1.5b Q5_1,206,1,0.1117,375
glm-edge-1.5b Q5_1,207,1,0.1138,443
glm-edge-1.5b Q5_1,208,0,0.1066,361
glm-edge-1.5b Q5_1,209,1,0.0685,223
glm-edge-1.5b Q5_1,210,1,0.0723,251
glm-edge-1.5b Q5_1,211,0,0.1122,290
glm-edge-1.5b Q5_1,212,0,0.0690,254
glm-edge-1.5b Q5_1,213,1,0.1100,407
glm-edge-1.5b Q5_1,214,1,0.1127,476
glm-edge-1.5b Q5_1,215,1,0.1068,294
glm-edge-1.5b Q5_1,216,1,0.0699,241
glm-edge-1.5b Q5_1,217,1,0.1064,262
glm-edge-1.5b Q5_1,218,1,0.0611,91
glm-edge-1.5b Q5_1,219,1,0.1056,274
glm-edge-1.5b Q5_1,220,1,0.1072,274
glm-edge-1.5b Q5_1,221,1,0.1122,335
glm-edge-1.5b Q5_1,222,0,0.0709,184
glm-edge-1.5b Q5_1,223,0,0.1096,334
glm-edge-1.5b Q5_1,224,0,0.0665,156
glm-edge-1.5b Q5_1,225,1,0.1091,355
glm-edge-1.5b Q5_1,226,1,0.1124,382
glm-edge-1.5b Q5_1,227,1,0.1089,340
glm-edge-1.5b Q5_1,228,1,0.0687,172
glm-edge-1.5b Q5_1,229,1,0.0756,286
glm-edge-1.5b Q5_1,230,0,0.1853,676
glm-edge-1.5b Q5_1,231,0,0.2088,928
glm-edge-1.5b Q5_1,232,0,0.0707,207
glm-edge-1.5b Q5_1,233,1,0.0665,91
glm-edge-1.5b Q5_1,234,0,0.0679,173
glm-edge-1.5b Q5_1,235,1,0.0666,239
glm-edge-1.5b Q5_1,236,0,0.1084,274
glm-edge-1.5b Q5_1,237,1,0.1083,314
glm-edge-1.5b Q5_1,238,1,0.1136,415
glm-edge-1.5b Q5_1,239,1,0.0720,206
glm-edge-1.5b Q5_1,240,1,0.0702,239
glm-edge-1.5b Q5_1,241,1,0.1091,317
glm-edge-1.5b Q5_1,242,1,0.0691,266
glm-edge-1.5b Q5_1,243,1,0.0679,156
glm-edge-1.5b Q5_1,244,0,0.1148,399
glm-edge-1.5b Q5_1,245,1,0.0700,273
glm-edge-1.5b Q5_1,246,1,0.0693,247
glm-edge-1.5b Q5_1,247,1,0.1098,328
glm-edge-1.5b Q5_1,248,1,0.0708,185
glm-edge-1.5b Q5_1,249,0,0.0676,137
glm-edge-1.5b Q5_1,250,1,0.0726,224
glm-edge-1.5b Q5_1,251,1,0.1126,413
glm-edge-1.5b Q5_1,252,0,0.1075,323
glm-edge-1.5b Q5_1,253,1,0.0682,174
glm-edge-1.5b Q5_1,254,0,0.1091,314
glm-edge-1.5b Q5_1,255,0,0.0670,217
glm-edge-1.5b Q5_1,256,1,0.0675,136
glm-edge-1.5b Q5_1,257,1,0.1160,494
glm-edge-1.5b Q5_1,258,1,0.1059,328
glm-edge-1.5b Q5_1,259,0,0.1060,224
glm-edge-1.5b Q5_1,260,1,0.1103,314
glm-edge-1.5b Q5_1,261,1,0.0688,181
glm-edge-1.5b Q5_1,262,1,0.1071,289
glm-edge-1.5b Q5_1,263,1,0.0689,146
glm-edge-1.5b Q5_1,264,1,0.1084,253
glm-edge-1.5b Q5_1,265,1,0.1110,300
glm-edge-1.5b Q5_1,266,1,0.0688,206
glm-edge-1.5b Q5_1,267,0,0.1072,263
