model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q5_0,95,0,0.0705,241
Qwen2.5-1.5B Q5_0,96,1,0.1056,388
Qwen2.5-1.5B Q5_0,97,1,0.0691,201
Qwen2.5-1.5B Q5_0,98,1,0.0716,232
Qwen2.5-1.5B Q5_0,99,1,0.0726,270
Qwen2.5-1.5B Q5_0,100,1,0.1095,466
Qwen2.5-1.5B Q5_0,101,1,0.1324,272
Qwen2.5-1.5B Q5_0,102,1,0.0674,165
Qwen2.5-1.5B Q5_0,103,1,0.0707,185
Qwen2.5-1.5B Q5_0,104,0,0.0678,232
Qwen2.5-1.5B Q5_0,105,1,0.1073,293
Qwen2.5-1.5B Q5_0,106,1,0.0703,248
Qwen2.5-1.5B Q5_0,107,1,0.1031,345
Qwen2.5-1.5B Q5_0,108,1,0.0997,294
Qwen2.5-1.5B Q5_0,109,0,0.0686,144
Qwen2.5-1.5B Q5_0,110,1,0.1092,489
Qwen2.5-1.5B Q5_0,111,1,0.0706,243
Qwen2.5-1.5B Q5_0,112,1,0.1029,284
Qwen2.5-1.5B Q5_0,113,1,0.0679,177
Qwen2.5-1.5B Q5_0,114,1,0.0701,238
Qwen2.5-1.5B Q5_0,115,1,0.0700,218
Qwen2.5-1.5B Q5_0,116,1,0.0706,244
Qwen2.5-1.5B Q5_0,117,1,0.0692,198
Qwen2.5-1.5B Q5_0,118,0,0.1044,247
Qwen2.5-1.5B Q5_0,119,1,0.1057,392
Qwen2.5-1.5B Q5_0,120,1,0.1049,348
Qwen2.5-1.5B Q5_0,121,1,0.0698,175
Qwen2.5-1.5B Q5_0,122,0,0.0742,314
Qwen2.5-1.5B Q5_0,123,1,0.1078,309
Qwen2.5-1.5B Q5_0,124,1,0.1036,334
Qwen2.5-1.5B Q5_0,125,1,0.0693,212
Qwen2.5-1.5B Q5_0,126,0,0.0675,143
Qwen2.5-1.5B Q5_0,127,0,0.0677,155
Qwen2.5-1.5B Q5_0,128,0,0.0566,126
Qwen2.5-1.5B Q5_0,129,0,0.0719,214
Qwen2.5-1.5B Q5_0,130,1,0.0666,154
Qwen2.5-1.5B Q5_0,131,1,0.0689,176
Qwen2.5-1.5B Q5_0,132,1,0.0681,168
Qwen2.5-1.5B Q5_0,133,1,0.0690,212
Qwen2.5-1.5B Q5_0,134,0,0.1029,356
Qwen2.5-1.5B Q5_0,135,0,0.1064,344
Qwen2.5-1.5B Q5_0,136,1,0.1043,380
Qwen2.5-1.5B Q5_0,137,1,0.0698,267
Qwen2.5-1.5B Q5_0,138,1,0.1039,309
Qwen2.5-1.5B Q5_0,139,0,0.0700,228
Qwen2.5-1.5B Q5_0,140,1,0.1032,295
Qwen2.5-1.5B Q5_0,141,1,0.1050,320
Qwen2.5-1.5B Q5_0,142,1,0.0702,217
Qwen2.5-1.5B Q5_0,143,0,0.1050,366
Qwen2.5-1.5B Q5_0,144,1,0.0678,193
Qwen2.5-1.5B Q5_0,145,1,0.1047,491
Qwen2.5-1.5B Q5_0,146,1,0.0708,184
Qwen2.5-1.5B Q5_0,147,0,0.0713,226
Qwen2.5-1.5B Q5_0,148,0,0.0662,91
Qwen2.5-1.5B Q5_0,149,1,0.0703,225
Qwen2.5-1.5B Q5_0,150,1,0.0654,257
Qwen2.5-1.5B Q5_0,151,1,0.0659,185
Qwen2.5-1.5B Q5_0,152,1,0.0670,163
Qwen2.5-1.5B Q5_0,153,0,0.1049,371
Qwen2.5-1.5B Q5_0,154,1,0.1047,319
Qwen2.5-1.5B Q5_0,155,1,0.0693,207
Qwen2.5-1.5B Q5_0,156,0,0.0693,118
Qwen2.5-1.5B Q5_0,157,1,0.0697,182
Qwen2.5-1.5B Q5_0,158,1,0.0681,177
Qwen2.5-1.5B Q5_0,159,1,0.0670,171
Qwen2.5-1.5B Q5_0,160,1,0.0713,265
Qwen2.5-1.5B Q5_0,161,0,0.0700,164
Qwen2.5-1.5B Q5_0,162,1,0.1115,532
Qwen2.5-1.5B Q5_0,163,1,0.0715,322
Qwen2.5-1.5B Q5_0,164,1,0.0668,152
Qwen2.5-1.5B Q5_0,165,1,0.0551,110
Qwen2.5-1.5B Q5_0,166,1,0.0714,228
Qwen2.5-1.5B Q5_0,167,1,0.0719,226
Qwen2.5-1.5B Q5_0,168,0,0.0680,192
Qwen2.5-1.5B Q5_0,169,1,0.1027,308
Qwen2.5-1.5B Q5_0,170,1,0.1730,324
Qwen2.5-1.5B Q5_0,171,1,0.0736,297
Qwen2.5-1.5B Q5_0,172,1,0.1052,332
Qwen2.5-1.5B Q5_0,173,1,0.0702,273
Qwen2.5-1.5B Q5_0,174,0,0.0681,145
Qwen2.5-1.5B Q5_0,175,0,0.1093,439
Qwen2.5-1.5B Q5_0,176,1,0.1060,263
Qwen2.5-1.5B Q5_0,177,1,0.1028,382
Qwen2.5-1.5B Q5_0,178,1,0.0719,202
Qwen2.5-1.5B Q5_0,179,1,0.0568,120
Qwen2.5-1.5B Q5_0,180,1,0.0685,143
Qwen2.5-1.5B Q5_0,181,1,0.1049,380
Qwen2.5-1.5B Q5_0,182,0,0.0690,169
Qwen2.5-1.5B Q5_0,183,1,0.1018,353
