model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q4_0,0,1,0.1328,321
Qwen2.5-1.5B Q4_0,1,1,0.0889,444
Qwen2.5-1.5B Q4_0,2,1,0.0864,355
Qwen2.5-1.5B Q4_0,3,1,0.0863,408
Qwen2.5-1.5B Q4_0,4,0,0.0880,470
Qwen2.5-1.5B Q4_0,5,0,0.0918,499
Qwen2.5-1.5B Q4_0,6,1,0.0904,516
Qwen2.5-1.5B Q4_0,7,1,0.0821,342
Qwen2.5-1.5B Q4_0,8,0,0.0862,480
Qwen2.5-1.5B Q4_0,9,1,0.0630,224
Qwen2.5-1.5B Q4_0,10,0,0.0533,275
Qwen2.5-1.5B Q4_0,11,1,0.0553,262
Qwen2.5-1.5B Q4_0,12,0,0.0886,185
Qwen2.5-1.5B Q4_0,13,0,0.0551,293
Qwen2.5-1.5B Q4_0,14,1,0.0529,168
Qwen2.5-1.5B Q4_0,15,1,0.0525,153
Qwen2.5-1.5B Q4_0,16,1,0.0873,468
Qwen2.5-1.5B Q4_0,17,1,0.0869,338
Qwen2.5-1.5B Q4_0,18,1,0.0884,485
Qwen2.5-1.5B Q4_0,19,1,0.0867,352
Qwen2.5-1.5B Q4_0,20,1,0.0815,332
Qwen2.5-1.5B Q4_0,21,1,0.0890,322
Qwen2.5-1.5B Q4_0,22,1,0.0535,232
Qwen2.5-1.5B Q4_0,23,1,0.0876,325
Qwen2.5-1.5B Q4_0,24,1,0.0513,105
Qwen2.5-1.5B Q4_0,25,0,0.0536,235
Qwen2.5-1.5B Q4_0,26,0,0.0897,436
Qwen2.5-1.5B Q4_0,27,1,0.0918,446
Qwen2.5-1.5B Q4_0,28,0,0.0825,319
Qwen2.5-1.5B Q4_0,29,1,0.0516,167
Qwen2.5-1.5B Q4_0,30,1,0.0831,379
Qwen2.5-1.5B Q4_0,31,1,0.0552,289
Qwen2.5-1.5B Q4_0,32,1,0.0544,192
Qwen2.5-1.5B Q4_0,33,1,0.0566,241
Qwen2.5-1.5B Q4_0,34,1,0.0509,128
Qwen2.5-1.5B Q4_0,35,0,0.0864,445
Qwen2.5-1.5B Q4_0,36,1,0.0861,376
Qwen2.5-1.5B Q4_0,37,1,0.0544,274
Qwen2.5-1.5B Q4_0,38,1,0.0545,284
Qwen2.5-1.5B Q4_0,39,1,0.0819,431
Qwen2.5-1.5B Q4_0,40,1,0.0543,270
Qwen2.5-1.5B Q4_0,41,0,0.0529,179
Qwen2.5-1.5B Q4_0,42,0,0.0549,129
Qwen2.5-1.5B Q4_0,43,0,0.0838,302
Qwen2.5-1.5B Q4_0,44,0,0.0832,380
Qwen2.5-1.5B Q4_0,45,1,0.0543,134
Qwen2.5-1.5B Q4_0,46,1,0.0539,153
Qwen2.5-1.5B Q4_0,47,1,0.0524,163
Qwen2.5-1.5B Q4_0,48,1,0.0515,221
Qwen2.5-1.5B Q4_0,49,0,0.0559,197
Qwen2.5-1.5B Q4_0,50,1,0.0894,419
Qwen2.5-1.5B Q4_0,51,1,0.0850,286
Qwen2.5-1.5B Q4_0,52,1,0.0543,196
Qwen2.5-1.5B Q4_0,53,0,0.0559,254
Qwen2.5-1.5B Q4_0,54,0,0.0815,312
Qwen2.5-1.5B Q4_0,55,1,0.0974,580
Qwen2.5-1.5B Q4_0,56,1,0.0822,316
Qwen2.5-1.5B Q4_0,57,1,0.0839,349
Qwen2.5-1.5B Q4_0,58,0,0.0518,154
Qwen2.5-1.5B Q4_0,59,1,0.1361,458
