model,question,correct,seconds,prompt_chars
Qwen2.5-1.5B Q5_K_M,102,1,0.0761,165
Qwen2.5-1.5B Q5_K_M,103,1,0.0767,185
Qwen2.5-1.5B Q5_K_M,104,0,0.0805,232
Qwen2.5-1.5B Q5_K_M,105,1,0.1185,293
Qwen2.5-1.5B Q5_K_M,106,1,0.0774,248
Qwen2.5-1.5B Q5_K_M,107,1,0.1164,345
Qwen2.5-1.5B Q5_K_M,108,1,0.1165,294
Qwen2.5-1.5B Q5_K_M,109,0,0.0748,144
Qwen2.5-1.5B Q5_K_M,110,1,0.1177,489
Qwen2.5-1.5B Q5_K_M,111,1,0.0811,243
Qwen2.5-1.5B Q5_K_M,112,1,0.1096,284
Qwen2.5-1.5B Q5_K_M,113,1,0.0774,177
Qwen2.5-1.5B Q5_K_M,114,1,0.0778,238
Qwen2.5-1.5B Q5_K_M,115,1,0.0772,218
Qwen2.5-1.5B Q5_K_M,116,1,0.0791,244
Qwen2.5-1.5B Q5_K_M,117,1,0.0765,198
Qwen2.5-1.5B Q5_K_M,118,0,0.1169,247
Qwen2.5-1.5B Q5_K_M,119,1,0.1151,392
Qwen2.5-1.5B Q5_K_M,120,1,0.1155,348
Qwen2.5-1.5B Q5_K_M,121,1,0.0758,175
Qwen2.5-1.5B Q5_K_M,122,0,0.0820,314
Qwen2.5-1.5B Q5_K_M,123,1,0.1141,309
Qwen2.5-1.5B Q5_K_M,124,1,0.1154,334
Qwen2.5-1.5B Q5_K_M,125,1,0.0767,212
Qwen2.5-1.5B Q5_K_M,126,0,0.0741,143
Qwen2.5-1.5B Q5_K_M,127,0,0.0755,155
Qwen2.5-1.5B Q5_K_M,128,0,0.0592,126
Qwen2.5-1.5B Q5_K_M,129,0,0.0765,214
Qwen2.5-1.5B Q5_K_M,130,1,0.0785,154
Qwen2.5-1.5B Q5_K_M,131,1,0.0844,176
Qwen2.5-1.5B Q5_K_M,132,1,0.0804,168
Qwen2.5-1.5B Q5_K_M,133,1,0.0873,212
Qwen2.5-1.5B Q5_K_M,134,0,0.1155,356
Qwen2.5-1.5B Q5_K_M,135,0,0.1142,344
Qwen2.5-1.5B Q5_K_M,136,1,0.1190,380
Qwen2.5-1.5B Q5_K_M,137,1,0.0803,267
Qwen2.5-1.5B Q5_K_M,138,1,0.1125,309
Qwen2.5-1.5B Q5_K_M,139,0,0.0859,228
Qwen2.5-1.5B Q5_K_M,140,1,0.1174,295
Qwen2.5-1.5B Q5_K_M,141,1,0.1089,320
Qwen2.5-1.5B Q5_K_M,142,1,0.0768,217
Qwen2.5-1.5B Q5_K_M,143,0,0.1147,366
Qwen2.5-1.5B Q5_K_M,144,1,0.0765,193
Qwen2.5-1.5B Q5_K_M,145,1,0.1157,491
Qwen2.5-1.5B Q5_K_M,146,1,0.0772,184
Qwen2.5-1.5B Q5_K_M,147,0,0.0792,226
Qwen2.5-1.5B Q5_K_M,148,0,0.0769,91
Qwen2.5-1.5B Q5_K_M,149,1,0.0794,225
Qwen2.5-1.5B Q5_K_M,150,1,0.0765,257
Qwen2.5-1.5B Q5_K_M,151,1,0.0753,185
Qwen2.5-1.5B Q5_K_M,152,1,0.0738,163
Qwen2.5-1.5B Q5_K_M,153,0,0.1145,371
Qwen2.5-1.5B Q5_K_M,154,1,0.1132,319
Qwen2.5-1.5B Q5_K_M,155,1,0.0796,207
Qwen2.5-1.5B Q5_K_M,156,0,0.0754,118
Qwen2.5-1.5B Q5_K_M,157,1,0.0770,182
Qwen2.5-1.5B Q5_K_M,158,1,0.0759,177
Qwen2.5-1.5B Q5_K_M,159,1,0.0770,171
Qwen2.5-1.5B Q5_K_M,160,1,0.0798,265
Qwen2.5-1.5B Q5_K_M,161,1,0.0762,164
Qwen2.5-1.5B Q5_K_M,162,1,0.1181,532
Qwen2.5-1.5B Q5_K_M,163,1,0.0785,322
Qwen2.5-1.5B Q5_K_M,164,1,0.0745,152
Qwen2.5-1.5B Q5_K_M,165,1,0.0548,110
Qwen2.5-1.5B Q5_K_M,166,1,0.0753,228
Qwen2.5-1.5B Q5_K_M,167,1,0.0785,226
Qwen2.5-1.5B Q5_K_M,168,0,0.0777,192
Qwen2.5-1.5B Q5_K_M,169,1,0.1123,308
Qwen2.5-1.5B Q5_K_M,170,1,0.1979,324
Qwen2.5-1.5B Q5_K_M,171,1,0.0805,297
Qwen2.5-1.5B Q5_K_M,172,1,0.1146,332
Qwen2.5-1.5B Q5_K_M,173,1,0.0796,273
Qwen2.5-1.5B Q5_K_M,174,0,0.0758,145
Qwen2.5-1.5B Q5_K_M,175,0,0.1191,439
Qwen2.5-1.5B Q5_K_M,176,1,0.1116,263
Qwen2.5-1.5B Q5_K_M,177,1,0.1165,382
Qwen2.5-1.5B Q5_K_M,178,1,0.0785,202
Qwen2.5-1.5B Q5_K_M,179,1,0.0585,120
Qwen2.5-1.5B Q5_K_M,180,1,0.0759,143
Qwen2.5-1.5B Q5_K_M,181,1,0.1163,380
Qwen2.5-1.5B Q5_K_M,182,0,0.0788,169
